Software Used:	Crystal Instruments EDM software Ver.3.1.5.6
7.92968750E-003	-6.55598938E-003
7.96875000E-003	-6.63458323E-003
8.00781250E-003	-7.23297801E-003
8.04687500E-003	-6.50351495E-003
8.08593750E-003	-6.65129023E-003
8.12500000E-003	-7.36992853E-003
8.16406250E-003	-6.61293464E-003
8.20312500E-003	-6.54022349E-003
8.24218750E-003	-7.43181538E-003
8.28125000E-003	-6.79271156E-003
8.32031250E-003	-6.52328087E-003
8.35937500E-003	-7.31015997E-003
8.39843750E-003	-6.88683614E-003
8.43750000E-003	-6.34915102E-003
8.47656250E-003	-7.20732892E-003
8.51562500E-003	-6.90919068E-003
8.55468750E-003	-6.41339086E-003
8.59375000E-003	-6.35126885E-003
8.63281250E-003	-4.59891092E-003
8.67187500E-003	-4.13393695E-003
8.71093750E-003	-6.05548359E-003
8.75000000E-003	-6.57999096E-003
8.78906250E-003	-6.49174955E-003
8.82812500E-003	-6.75623864E-003
8.86718750E-003	-6.97907759E-003
8.90625000E-003	-6.68705720E-003
8.94531250E-003	-6.77647535E-003
8.98437500E-003	-6.97907759E-003
9.02343750E-003	-6.88824803E-003
9.06250000E-003	-6.69035176E-003
9.10156250E-003	-7.02661043E-003
9.14062500E-003	-7.29462923E-003
9.17968750E-003	-7.12544098E-003
9.21875000E-003	-6.67952746E-003
9.25781250E-003	-7.00237369E-003
9.29687500E-003	-6.88565942E-003
9.33593750E-003	-6.51716301E-003
9.37500000E-003	-6.99625537E-003
9.41406250E-003	-7.28592277E-003
9.45312500E-003	-6.32138457E-003
9.49218750E-003	-7.00566778E-003
9.53125000E-003	-7.41581433E-003
9.57031250E-003	-6.32020785E-003
9.60937500E-003	-5.66322077E-003
9.64843750E-003	-4.71774256E-003
9.68750000E-003	-4.49255062E-003
9.72656250E-003	-5.96818328E-003
9.76562500E-003	-6.85624545E-003
9.80468750E-003	-6.23408426E-003
9.84375000E-003	-6.54751807E-003
9.88281250E-003	-7.24003743E-003
9.92187500E-003	-6.46398263E-003
9.96093750E-003	-6.65105460E-003
1.00000000E-002	-7.20168138E-003
1.00390625E-002	-6.70564687E-003
1.00781250E-002	-6.54822402E-003
1.01171875E-002	-6.82847900E-003
1.01562500E-002	-6.88683614E-003
1.01953125E-002	-6.62917085E-003
1.02343750E-002	-6.71505928E-003
1.02734375E-002	-6.88189454E-003
1.03125000E-002	-6.80071209E-003
1.03515625E-002	-6.55387156E-003
1.03906250E-002	-6.90071937E-003
1.04296875E-002	-7.03414064E-003
1.04687500E-002	-6.33809157E-003
1.05078125E-002	-6.71694195E-003
1.05468750E-002	-7.13179447E-003
1.05859375E-002	-6.27102796E-003
1.06250000E-002	-4.97987866E-003
1.06640625E-002	-4.59138071E-003
1.07031250E-002	-4.80692554E-003
1.07421875E-002	-6.05265982E-003
1.07812500E-002	-7.04684714E-003
1.08203125E-002	-6.16231468E-003
1.08593750E-002	-6.49480848E-003
1.08984375E-002	-7.31368968E-003
1.09375000E-002	-6.44821720E-003
1.09765625E-002	-6.57693204E-003
1.10156250E-002	-7.16097280E-003
1.10546875E-002	-6.73529599E-003
1.10937500E-002	-6.53387001E-003
1.11328125E-002	-7.12261721E-003
1.11718750E-002	-6.79718284E-003
1.12109375E-002	-6.64681895E-003
1.12500000E-002	-6.88048266E-003
1.12890625E-002	-6.85177464E-003
1.13281250E-002	-6.74094353E-003
1.13671875E-002	-7.14967772E-003
1.14062500E-002	-7.01272720E-003
1.14453125E-002	-6.95648789E-003
1.14843750E-002	-6.71694195E-003
1.15234375E-002	-6.70611765E-003
1.15625000E-002	-7.23062502E-003
1.16015625E-002	-6.03477610E-003
1.16406250E-002	-4.50525712E-003
1.16796875E-002	-4.79610125E-003
1.17187500E-002	-5.22530777E-003
1.17578125E-002	-6.10019267E-003
1.17968750E-002	-7.09790969E-003
1.18359375E-002	-6.49951492E-003
1.18750000E-002	-6.36468176E-003
1.19140625E-002	-7.37910578E-003
1.19531250E-002	-6.79741800E-003
1.19921875E-002	-6.33244403E-003
1.20312500E-002	-7.23815477E-003
1.20703125E-002	-6.83765626E-003
1.21093750E-002	-6.35244558E-003
1.21484375E-002	-7.13202963E-003
1.21875000E-002	-6.88636536E-003
1.22265625E-002	-6.42492110E-003
1.22656250E-002	-7.08167301E-003
1.23046875E-002	-6.91601448E-003
1.23437500E-002	-6.53081108E-003
1.23828125E-002	-6.87530590E-003
1.24218750E-002	-7.05649517E-003
1.24609375E-002	-6.58446178E-003
1.25000000E-002	-6.80000614E-003
1.25390625E-002	-6.92636799E-003
1.25781250E-002	-6.67482102E-003
1.26171875E-002	-5.75334486E-003
1.26562500E-002	-4.24406258E-003
1.26953125E-002	-4.83775092E-003
1.27343750E-002	-5.72698982E-003
1.27734375E-002	-6.19902322E-003
1.28125000E-002	-6.72211871E-003
1.28515625E-002	-6.75082626E-003
1.28906250E-002	-6.29903004E-003
1.29296875E-002	-7.06778979E-003
1.29687500E-002	-6.79482939E-003
1.30078125E-002	-6.51810411E-003
1.30468750E-002	-7.04731792E-003
1.30859375E-002	-7.04614120E-003
1.31250000E-002	-6.38797740E-003
1.31640625E-002	-6.99460832E-003
1.32031250E-002	-7.18662189E-003
1.32421875E-002	-6.30797166E-003
1.32812500E-002	-6.91107288E-003
1.33203125E-002	-7.25086173E-003
1.33593750E-002	-6.36868179E-003
1.33984375E-002	-6.76423917E-003
1.34375000E-002	-7.38404738E-003
1.34765625E-002	-6.43033348E-003
1.35156250E-002	-6.62705302E-003
1.35546875E-002	-7.34945666E-003
1.35937500E-002	-6.73906086E-003
1.36328125E-002	-5.54203568E-003
1.36718750E-002	-4.73727332E-003
1.37109375E-002	-5.03305905E-003
1.37500000E-002	-5.74110867E-003
1.37890625E-002	-6.82447851E-003
1.38281250E-002	-6.66964427E-003
1.38671875E-002	-6.37150556E-003
1.39062500E-002	-6.91013178E-003
1.39453125E-002	-6.88518863E-003
1.39843750E-002	-6.73011923E-003
1.40234375E-002	-6.67176209E-003
1.40625000E-002	-6.82071364E-003
1.41015625E-002	-6.98496029E-003
1.41406250E-002	-6.69058692E-003
1.41796875E-002	-6.86824648E-003
1.42187500E-002	-6.87295245E-003
1.42578125E-002	-6.67599775E-003
1.42968750E-002	-6.85954001E-003
1.43359375E-002	-7.15156039E-003
1.43750000E-002	-6.65317243E-003
1.44140625E-002	-6.46963017E-003
1.44531250E-002	-7.11696967E-003
1.44921875E-002	-6.78306399E-003
1.45312500E-002	-6.40280219E-003
1.45703125E-002	-7.29792379E-003
1.46093750E-002	-6.71247067E-003
1.46484375E-002	-4.42360435E-003
1.46875000E-002	-4.61561792E-003
1.47265625E-002	-5.69804665E-003
1.47656250E-002	-5.60604036E-003
1.48046875E-002	-6.71953009E-003
1.48437500E-002	-6.97084190E-003
1.48828125E-002	-6.17337413E-003
1.49218750E-002	-6.97554788E-003
1.49609375E-002	-7.11979344E-003
1.50000000E-002	-6.38185954E-003
1.50390625E-002	-6.87295245E-003
1.50781250E-002	-7.16614956E-003
1.51171875E-002	-6.52704621E-003
1.51562500E-002	-6.73317816E-003
1.51953125E-002	-7.09790969E-003
1.52343750E-002	-6.68070372E-003
1.52734375E-002	-6.76282728E-003
1.53125000E-002	-6.84753899E-003
1.53515625E-002	-6.80683041E-003
1.53906250E-002	-6.56493101E-003
1.54296875E-002	-6.84612710E-003
1.54687500E-002	-6.78047538E-003
1.55078125E-002	-6.94378093E-003
1.55468750E-002	-6.58140285E-003
1.55859375E-002	-7.17720948E-003
1.56250000E-002	-6.22467184E-003
1.56640625E-002	-3.83344525E-003
1.57031250E-002	-4.60691145E-003
1.57421875E-002	-6.03030529E-003
1.57812500E-002	-5.81099605E-003
1.58203125E-002	-6.60493365E-003
1.58593750E-002	-7.24262558E-003
1.58984375E-002	-6.58328552E-003
1.59375000E-002	-6.96237059E-003
1.59765625E-002	-7.34122097E-003
1.60156250E-002	-6.33150293E-003
1.60546875E-002	-6.72964845E-003
1.60937500E-002	-7.22074183E-003
1.61328125E-002	-6.52445760E-003
1.61718750E-002	-6.48280745E-003
1.62109375E-002	-7.39816576E-003
1.62500000E-002	-6.40280219E-003
1.62890625E-002	-6.43245131E-003
1.63281250E-002	-7.26921577E-003
1.63671875E-002	-6.63152384E-003
1.64062500E-002	-6.52163383E-003
1.64453125E-002	-7.17132632E-003
1.64843750E-002	-6.75176783E-003
1.65234375E-002	-6.48821983E-003
1.65625000E-002	-6.94354577E-003
1.66015625E-002	-6.83130277E-003
1.66406250E-002	-5.60957007E-003
1.66796875E-002	-4.01910534E-003
1.67187500E-002	-4.69632959E-003
1.67578125E-002	-6.03383500E-003
1.67968750E-002	-6.25785068E-003
1.68359375E-002	-6.56540180E-003
1.68750000E-002	-6.87648216E-003
1.69140625E-002	-6.71411818E-003
1.69531250E-002	-6.47574849E-003
1.69921875E-002	-7.10638100E-003
1.70312500E-002	-6.58657961E-003
1.70703125E-002	-6.45174645E-003
1.71093750E-002	-7.15132523E-003
1.71484375E-002	-6.84142113E-003
1.71875000E-002	-6.29785331E-003
1.72265625E-002	-7.13344151E-003
1.72656250E-002	-6.89483667E-003
1.73046875E-002	-6.22843672E-003
1.73437500E-002	-7.04849418E-003
1.73828125E-002	-7.07484921E-003
1.74218750E-002	-6.19008113E-003
1.74609375E-002	-6.78612292E-003
1.75000000E-002	-7.28568761E-003
1.75390625E-002	-6.07783813E-003
1.75781250E-002	-6.82777306E-003
1.76171875E-002	-7.19132787E-003
1.76562500E-002	-4.66503296E-003
1.76953125E-002	-3.92239261E-003
1.77343750E-002	-5.52697573E-003
1.77734375E-002	-5.72840171E-003
1.78125000E-002	-6.18608110E-003
1.78515625E-002	-7.14214798E-003
1.78906250E-002	-6.37668278E-003
1.79296875E-002	-6.51857490E-003
1.79687500E-002	-7.08826166E-003
1.80078125E-002	-6.56257803E-003
1.80468750E-002	-6.43739291E-003
1.80859375E-002	-6.79600611E-003
1.81250000E-002	-6.98190136E-003
1.81640625E-002	-6.98896078E-003
1.82031250E-002	-6.90189609E-003
1.82421875E-002	-6.87201135E-003
1.82812500E-002	-6.96025277E-003
1.83203125E-002	-6.48586685E-003
1.83593750E-002	-6.79930067E-003
1.83984375E-002	-7.04472931E-003
1.84375000E-002	-6.38185954E-003
1.84765625E-002	-6.74070790E-003
1.85156250E-002	-7.10779289E-003
1.85546875E-002	-6.42939191E-003
1.85937500E-002	-6.69270474E-003
1.86328125E-002	-7.00990343E-003
1.86718750E-002	-4.14523203E-003
1.87109375E-002	-4.00686916E-003
1.87500000E-002	-6.15149038E-003
1.87890625E-002	-5.84864570E-003
1.88281250E-002	-6.19784649E-003
1.88671875E-002	-7.17767980E-003
1.89062500E-002	-6.47057127E-003
1.89453125E-002	-6.35621045E-003
1.89843750E-002	-7.21203536E-003
1.90234375E-002	-6.53857645E-003
1.90625000E-002	-6.52775215E-003
1.91015625E-002	-6.91154366E-003
1.91406250E-002	-6.84000924E-003
1.91796875E-002	-6.60022767E-003
1.92187500E-002	-6.76823966E-003
1.92578125E-002	-6.86354004E-003
1.92968750E-002	-6.76823966E-003
1.93359375E-002	-6.62140548E-003
1.93750000E-002	-6.84071518E-003
1.94140625E-002	-6.85012760E-003
1.94531250E-002	-6.54987106E-003
1.94921875E-002	-6.68329233E-003
1.95312500E-002	-7.16238469E-003
1.95703125E-002	-6.48633717E-003
1.96093750E-002	-6.74635544E-003
1.96484375E-002	-6.45527616E-003
1.96875000E-002	-3.82426823E-003
1.97265625E-002	-4.19276487E-003
1.97656250E-002	-6.31926674E-003
1.98046875E-002	-5.95924165E-003
1.98437500E-002	-6.12137048E-003
1.98828125E-002	-7.23697804E-003
1.99218750E-002	-6.53975271E-003
1.99609375E-002	-6.34656288E-003
2.00000000E-002	-7.42640346E-003
2.00390625E-002	-6.77906349E-003
2.00781250E-002	-6.49998523E-003
2.01171875E-002	-7.23674288E-003
2.01562500E-002	-6.96260622E-003
2.01953125E-002	-6.50116196E-003
2.02343750E-002	-7.12097017E-003
2.02734375E-002	-6.86824648E-003
2.03125000E-002	-6.61058119E-003
2.03515625E-002	-6.71670632E-003
2.03906250E-002	-7.26262713E-003
2.04296875E-002	-6.97531272E-003
2.04687500E-002	-7.05390656E-003
2.05078125E-002	-6.78071100E-003
2.05468750E-002	-7.09555671E-003
2.05859375E-002	-6.67811558E-003
2.06250000E-002	-6.82942010E-003
2.06640625E-002	-5.75663894E-003
2.07031250E-002	-4.01604641E-003
2.07421875E-002	-4.65726806E-003
2.07812500E-002	-6.45386428E-003
2.08203125E-002	-6.48821983E-003
2.08593750E-002	-6.35362230E-003
2.08984375E-002	-7.23815477E-003
2.09375000E-002	-6.86965836E-003
2.09765625E-002	-6.42021513E-003
2.10156250E-002	-7.38922413E-003
2.10546875E-002	-7.08402647E-003
2.10937500E-002	-6.25314470E-003
2.11328125E-002	-7.27227470E-003
2.11718750E-002	-7.03131687E-003
2.12109375E-002	-6.50210306E-003
2.12500000E-002	-7.01460987E-003
2.12890625E-002	-7.20403483E-003
2.13281250E-002	-6.27785223E-003
2.13671875E-002	-7.04072928E-003
2.14062500E-002	-7.15744309E-003
2.14453125E-002	-6.56375429E-003
2.14843750E-002	-6.79247640E-003
2.15234375E-002	-6.93436852E-003
2.15625000E-002	-6.62799412E-003
2.16015625E-002	-6.88189454E-003
2.16406250E-002	-6.88542426E-003
2.16796875E-002	-4.95399442E-003
2.17187500E-002	-4.12546564E-003
2.17578125E-002	-5.38437767E-003
2.17968750E-002	-6.41668541E-003
2.18359375E-002	-6.70399982E-003
2.18750000E-002	-6.50822138E-003
2.19140625E-002	-6.90871989E-003
2.19531250E-002	-6.99813804E-003
2.19921875E-002	-6.43551024E-003
2.20312500E-002	-7.04214117E-003
2.20703125E-002	-7.19344569E-003
2.21093750E-002	-6.39950763E-003
2.21484375E-002	-7.10402755E-003
2.21875000E-002	-7.33039668E-003
2.22265625E-002	-6.36726990E-003
2.22656250E-002	-6.89766044E-003
2.23046875E-002	-7.46381748E-003
2.23437500E-002	-6.28232304E-003
2.23828125E-002	-6.76988671E-003
2.24218750E-002	-7.46122934E-003
2.24609375E-002	-6.40962599E-003
2.25000000E-002	-6.70541171E-003
2.25390625E-002	-7.34192692E-003
2.25781250E-002	-6.60634553E-003
2.26171875E-002	-6.70988252E-003
2.26562500E-002	-7.30474759E-003
2.26953125E-002	-4.71656630E-003
2.27343750E-002	-4.33159806E-003
2.27734375E-002	-6.06489601E-003
2.28125000E-002	-6.38656551E-003
2.28515625E-002	-6.41033193E-003
2.28906250E-002	-6.85506919E-003
2.29296875E-002	-6.89907232E-003
2.29687500E-002	-6.83695031E-003
2.30078125E-002	-6.83812657E-003
2.30468750E-002	-6.90730801E-003
2.30859375E-002	-7.02284556E-003
2.31250000E-002	-6.64376002E-003
2.31640625E-002	-6.81883143E-003
2.32031250E-002	-7.25509692E-003
2.32421875E-002	-6.70541171E-003
2.32812500E-002	-6.82471413E-003
2.33203125E-002	-7.39910733E-003
2.33593750E-002	-6.65293727E-003
2.33984375E-002	-6.71482412E-003
2.34375000E-002	-7.47417146E-003
2.34765625E-002	-6.58116769E-003
2.35156250E-002	-6.53575268E-003
2.35546875E-002	-7.48946657E-003
2.35937500E-002	-6.67999778E-003
2.36328125E-002	-6.51645707E-003
2.36718750E-002	-6.55104779E-003
2.37109375E-002	-4.12381859E-003
2.37500000E-002	-4.50290414E-003
2.37890625E-002	-6.51033921E-003
2.38281250E-002	-6.35550451E-003
2.38671875E-002	-6.30891323E-003
2.39062500E-002	-7.02872826E-003
2.39453125E-002	-7.09437998E-003
2.39843750E-002	-6.70917658E-003
2.40234375E-002	-6.88212970E-003
2.40625000E-002	-7.02025695E-003
2.41015625E-002	-6.88071782E-003
2.41406250E-002	-6.86283410E-003
2.41796875E-002	-6.93554524E-003
2.42187500E-002	-7.02002179E-003
2.42578125E-002	-6.73270738E-003
2.42968750E-002	-6.75059110E-003
2.43359375E-002	-7.15697277E-003
2.43750000E-002	-6.80753635E-003
2.44140625E-002	-6.80047693E-003
2.44531250E-002	-7.31768971E-003
2.44921875E-002	-6.74070790E-003
2.45312500E-002	-6.55340077E-003
2.45703125E-002	-7.33651454E-003
2.46093750E-002	-6.94684032E-003
2.46484375E-002	-6.42209733E-003
2.46875000E-002	-5.78675885E-003
2.47265625E-002	-4.27747658E-003
2.47656250E-002	-4.42054542E-003
2.48046875E-002	-6.60069846E-003
2.48437500E-002	-6.72941329E-003
2.48828125E-002	-6.25855662E-003
2.49218750E-002	-7.55558861E-003
2.49609375E-002	-7.36710476E-003
2.50000000E-002	-6.44068699E-003
2.50390625E-002	-7.07367249E-003
2.50781250E-002	-7.22756563E-003
2.51171875E-002	-6.67670369E-003
2.51562500E-002	-6.94731064E-003
2.51953125E-002	-7.08543835E-003
2.52343750E-002	-6.69435179E-003
2.52734375E-002	-6.69435179E-003
2.53125000E-002	-7.08755618E-003
2.53515625E-002	-6.73223706E-003
2.53906250E-002	-6.94801658E-003
2.54296875E-002	-6.86212815E-003
2.54687500E-002	-6.88824803E-003
2.55078125E-002	-6.88354159E-003
2.55468750E-002	-6.62822975E-003
2.55859375E-002	-6.95484085E-003
2.56250000E-002	-7.10261567E-003
2.56640625E-002	-6.23596692E-003
2.57031250E-002	-5.02246991E-003
2.57421875E-002	-4.36077639E-003
2.57812500E-002	-4.94834688E-003
2.58203125E-002	-6.54445915E-003
2.58593750E-002	-7.01766880E-003
2.58984375E-002	-6.23690803E-003
2.59375000E-002	-6.73623709E-003
2.59765625E-002	-7.26427417E-003
2.60156250E-002	-6.32138457E-003
2.60546875E-002	-6.92683877E-003
2.60937500E-002	-7.29392329E-003
2.61328125E-002	-6.52022194E-003
2.61718750E-002	-6.75976835E-003
2.62109375E-002	-7.31768971E-003
2.62500000E-002	-6.61552278E-003
2.62890625E-002	-6.72988361E-003
2.63281250E-002	-7.20544672E-003
2.63671875E-002	-6.63905405E-003
2.64062500E-002	-6.64258376E-003
2.64453125E-002	-7.23274238E-003
2.64843750E-002	-6.76423917E-003
2.65234375E-002	-6.78541698E-003
2.65625000E-002	-6.87718811E-003
2.66015625E-002	-6.83083199E-003
2.66406250E-002	-6.92119123E-003
2.66796875E-002	-5.96512435E-003
2.67187500E-002	-4.46548965E-003
2.67578125E-002	-4.58102720E-003
2.67968750E-002	-5.60745224E-003
2.68359375E-002	-6.45362912E-003
2.68750000E-002	-6.85789296E-003
2.69140625E-002	-6.38915412E-003
2.69531250E-002	-6.72188308E-003
2.69921875E-002	-7.17344414E-003
2.70312500E-002	-6.62634708E-003
2.70703125E-002	-6.66917348E-003
2.71093750E-002	-7.44405156E-003
2.71484375E-002	-6.70235232E-003
2.71875000E-002	-6.91695558E-003
2.72265625E-002	-7.61912251E-003
2.72656250E-002	-6.92048529E-003
2.73046875E-002	-6.40068436E-003
2.73437500E-002	-7.51864491E-003
2.73828125E-002	-6.81647798E-003
2.74218750E-002	-6.48021931E-003
2.74609375E-002	-7.36945821E-003
2.75000000E-002	-7.07508437E-003
2.75390625E-002	-6.37291744E-003
2.75781250E-002	-7.21438834E-003
2.76171875E-002	-7.00566778E-003
2.76562500E-002	-6.56469585E-003
2.76953125E-002	-5.84582193E-003
2.77343750E-002	-4.30665491E-003
2.77734375E-002	-4.49607987E-003
2.78125000E-002	-5.98747889E-003
2.78515625E-002	-6.54304726E-003
2.78906250E-002	-6.55598938E-003
2.79296875E-002	-6.54869480E-003
2.79687500E-002	-6.72517763E-003
2.80078125E-002	-6.80612447E-003
2.80468750E-002	-6.73576677E-003
2.80859375E-002	-6.80612447E-003
2.81250000E-002	-6.97531272E-003
